"","X","Male","ParentEduc","LunchDiscount","TestPrep","PracticeSport","IsFirstChild","NrSiblings","PrivateTransport","WklyStudyHours","EthnicGroupA","EthnicGroupB","EthnicGroupC","EthnicGroupD","EthnicGroupE","ParentDivorced","ParentMarried","ParentSingle","ParentWidowed","MathScore","ReadingScore","WritingScore","AggregateScore"
"2779",928,0,2,0,0,3,1,4,0,1,0,1,0,0,0,0,1,0,0,77,83,85,245
"2782",931,1,3,0,0,3,0,1,0,1,0,0,1,0,0,1,0,0,0,70,62,57,189
"2783",932,0,1,0,1,2,1,1,0,1,0,0,1,0,0,0,0,0,1,47,59,61,167
"2787",936,1,1,0,0,2,1,0,0,3,0,0,1,0,0,0,0,1,0,74,65,57,196
"2788",937,0,1,0,1,2,1,2,1,2,0,0,0,1,0,0,1,0,0,63,74,73,210
"2789",938,0,6,1,1,3,1,3,1,2,0,0,0,0,1,0,0,1,0,86,96,95,277
"2791",940,1,4,1,1,2,1,3,1,2,0,0,1,0,0,0,1,0,0,56,51,49,156
"2793",942,0,3,1,1,3,1,1,0,3,0,0,1,0,0,0,1,0,0,48,51,56,155
"2796",945,0,5,0,0,2,1,2,0,1,0,0,1,0,0,1,0,0,0,57,56,54,167
"2797",946,0,4,0,0,2,0,1,0,1,0,0,0,0,1,1,0,0,0,88,86,88,262
"2799",948,1,3,0,1,2,1,3,1,1,0,0,1,0,0,0,1,0,0,89,84,86,259
"2800",949,1,1,0,0,3,1,1,1,1,0,0,0,1,0,0,1,0,0,55,45,46,146
"2801",951,1,6,0,0,2,0,3,1,3,0,0,1,0,0,0,1,0,0,90,69,73,232
"2802",952,0,3,1,1,3,0,1,1,2,0,0,1,0,0,0,1,0,0,60,77,76,213
"2803",953,0,1,0,0,3,1,3,0,1,0,1,0,0,0,0,0,1,0,72,83,80,235
"2804",954,0,3,0,1,3,1,0,0,1,0,0,1,0,0,0,1,0,0,62,73,73,208
"2805",955,0,3,0,1,2,1,2,0,1,0,0,0,1,0,0,1,0,0,68,74,81,223
"2806",956,1,2,0,0,3,0,2,0,1,0,0,0,0,1,0,0,0,1,49,46,44,139
"2809",959,1,5,0,1,3,0,2,0,1,0,0,1,0,0,0,1,0,0,67,56,58,181
"2810",960,0,6,0,1,1,1,3,0,2,0,0,1,0,0,1,0,0,0,67,89,86,242
"2811",961,0,3,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,68,85,79,232
"2812",962,0,1,0,1,3,1,3,1,1,0,0,1,0,0,0,1,0,0,69,83,86,238
"2815",965,1,2,1,1,3,0,1,0,1,0,1,0,0,0,0,1,0,0,28,38,32,98
"2816",966,0,2,1,0,3,1,4,0,2,0,0,0,1,0,1,0,0,0,52,75,69,196
"2818",969,0,6,0,0,2,1,0,0,2,0,1,0,0,0,0,0,1,0,58,71,69,198
"2824",975,1,4,0,0,3,1,1,0,1,0,0,1,0,0,1,0,0,0,75,68,62,205
"2825",976,1,1,0,1,1,1,4,1,1,0,1,0,0,0,0,1,0,0,74,87,75,236
"2826",977,0,5,0,0,2,0,2,0,1,0,0,0,1,0,0,1,0,0,69,77,74,220
"2828",979,1,3,1,1,2,1,4,0,2,0,0,1,0,0,0,1,0,0,84,85,82,251
"2829",980,1,3,1,1,2,1,3,0,1,0,0,1,0,0,1,0,0,0,43,35,37,115
"2832",983,0,5,0,1,3,1,4,0,1,1,0,0,0,0,1,0,0,0,79,99,100,278
"2834",985,0,2,0,0,2,1,0,1,2,0,0,1,0,0,0,0,1,0,65,69,67,201
"2835",986,1,3,1,0,3,1,1,1,2,0,0,0,1,0,0,1,0,0,65,70,72,207
"2837",988,0,4,0,0,3,0,1,1,1,0,0,0,0,1,0,0,1,0,84,96,90,270
"2838",989,1,3,0,1,2,1,0,0,2,0,0,1,0,0,0,0,1,0,54,55,61,170
"2839",990,0,1,1,1,3,1,4,0,1,0,0,0,1,0,0,1,0,0,71,84,87,242
"2840",991,0,6,0,0,1,1,1,1,3,0,0,1,0,0,0,1,0,0,73,84,86,243
"2843",994,0,2,0,0,2,1,2,1,1,0,0,0,0,1,1,0,0,0,92,100,93,285
"2845",996,0,1,1,0,3,1,3,0,2,0,0,0,0,1,0,1,0,0,64,69,68,201
"2846",997,0,2,0,1,1,1,0,0,3,0,1,0,0,0,1,0,0,0,57,68,71,196
"2848",0,1,5,1,0,2,1,4,1,3,0,1,0,0,0,0,1,0,0,62,52,53,167
"2850",2,1,2,0,0,3,0,2,0,1,0,0,1,0,0,1,0,0,0,82,78,67,227
"2851",3,0,3,0,1,3,1,0,1,2,0,0,0,0,1,0,0,1,0,77,77,81,235
"2855",7,0,3,0,0,2,1,1,1,3,0,0,0,1,0,0,1,0,0,92,97,94,283
"2856",8,0,2,1,0,3,1,1,0,3,0,0,1,0,0,0,1,0,0,41,50,56,147
"2857",9,1,3,0,0,2,0,3,0,3,0,0,0,1,0,0,1,0,0,65,51,51,167
"2858",10,1,1,1,1,2,1,2,0,3,0,0,0,1,0,0,1,0,0,45,42,46,133
"2859",12,0,2,0,0,2,0,2,1,1,1,0,0,0,0,1,0,0,0,66,78,79,223
"2860",13,0,4,0,0,3,1,2,1,1,0,0,0,0,1,0,1,0,0,79,82,85,246
"2861",15,0,1,1,0,2,1,1,1,3,1,0,0,0,0,0,1,0,0,31,49,44,124
"2863",17,0,2,0,1,2,1,1,0,2,0,0,0,1,0,0,0,1,0,45,51,58,154
"2867",21,0,4,0,1,1,1,3,1,1,0,0,0,0,1,1,0,0,0,81,84,87,252
"2868",22,0,2,0,0,2,0,3,1,1,0,1,0,0,0,0,1,0,0,83,93,94,270
"2870",24,1,4,1,0,3,1,3,0,1,0,1,0,0,0,0,1,0,0,69,64,60,193
"2873",27,0,2,0,1,3,0,2,0,1,0,0,0,1,0,0,0,1,0,73,78,79,230
"2876",30,0,6,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,54,61,57,172
"2878",32,1,3,0,0,2,0,2,1,2,0,0,0,0,1,0,1,0,0,97,93,85,275
"2879",33,0,2,0,1,2,1,2,0,2,0,0,0,1,0,0,0,1,0,85,91,88,264
"2880",36,1,3,1,1,2,1,1,0,2,0,0,1,0,0,0,0,1,0,81,85,84,250
"2883",40,0,3,0,0,2,1,0,0,2,0,0,1,0,0,1,0,0,0,54,69,61,184
"2886",43,0,5,1,0,3,0,3,1,1,0,0,0,0,1,0,0,1,0,74,70,69,213
"2887",44,0,2,1,1,3,1,0,1,1,0,0,0,1,0,0,1,0,0,41,49,59,149
"2889",46,0,5,0,0,1,0,3,1,1,0,0,1,0,0,0,1,0,0,61,71,65,197
"2890",47,0,3,0,1,2,0,1,1,2,0,1,0,0,0,0,1,0,0,44,63,54,161
"2891",48,1,3,1,1,2,1,0,0,1,0,0,1,0,0,0,1,0,0,60,54,56,170
"2894",51,1,4,1,0,3,1,3,0,1,0,0,0,0,1,0,1,0,0,67,69,61,197
"2895",52,1,1,0,0,2,0,1,0,2,0,0,1,0,0,0,1,0,0,72,68,64,204
"2900",58,1,6,0,0,2,1,2,1,2,0,0,1,0,0,1,0,0,0,66,63,54,183
"2902",60,1,3,0,0,1,1,5,1,2,0,0,0,0,1,0,1,0,0,79,69,66,214
"2903",61,1,3,0,0,3,1,4,1,1,0,1,0,0,0,1,0,0,0,75,71,64,210
"2904",62,0,6,0,1,2,1,2,1,1,0,0,0,1,0,1,0,0,0,81,96,100,277
"2907",66,0,3,0,1,2,1,4,0,3,0,0,1,0,0,1,0,0,0,72,69,74,215
"2909",68,1,3,0,1,3,0,4,0,1,0,0,0,1,0,0,1,0,0,74,72,76,222
"2911",70,1,4,0,0,3,1,2,1,3,0,0,1,0,0,1,0,0,0,79,69,74,222
"2912",71,0,1,0,0,1,0,2,0,1,0,1,0,0,0,0,1,0,0,54,59,62,175
"2913",72,1,1,0,1,2,1,1,1,2,0,0,0,1,0,1,0,0,0,64,71,68,203
"2914",73,0,1,1,0,1,0,2,0,2,0,0,1,0,0,1,0,0,0,25,43,44,112
"2916",75,0,3,1,0,2,1,1,0,1,1,0,0,0,0,0,1,0,0,70,84,78,232
"2917",76,1,1,1,0,1,1,2,0,1,0,0,1,0,0,0,1,0,0,29,34,26,89
"2918",77,0,2,1,0,3,1,1,0,1,0,1,0,0,0,0,1,0,0,40,44,45,129
"2920",80,1,3,0,1,2,1,4,0,1,0,0,1,0,0,0,0,1,0,68,64,63,195
"2923",83,1,4,1,0,2,1,3,0,3,0,0,0,1,0,0,1,0,0,78,84,85,247
"2924",84,0,2,0,0,2,1,0,1,2,0,0,1,0,0,0,1,0,0,53,67,65,185
"2925",85,1,5,0,0,2,1,2,1,2,0,0,0,1,0,1,0,0,0,79,76,70,225
"2931",93,1,1,1,1,3,0,2,0,1,0,0,0,1,0,0,1,0,0,51,56,53,160
"2932",94,1,3,0,0,3,1,2,0,2,0,0,0,0,1,1,0,0,0,76,64,59,199
"2933",95,1,1,0,0,3,1,4,0,1,0,0,0,1,0,0,0,1,0,86,79,74,239
"2936",99,0,3,0,0,2,1,1,0,1,0,0,0,1,0,0,1,0,0,62,56,57,175
"2937",100,0,6,0,1,1,1,3,0,2,0,0,0,0,1,0,1,0,0,86,97,95,278
"2938",101,0,3,0,1,2,1,2,1,1,0,1,0,0,0,0,1,0,0,75,72,81,228
"2940",104,1,3,0,1,2,0,1,1,2,0,0,1,0,0,0,0,1,0,78,80,78,236
"2941",105,0,2,0,0,3,1,1,0,1,0,0,0,1,0,0,1,0,0,65,71,75,211
"2942",106,0,1,0,0,3,1,4,1,3,0,0,0,0,1,0,0,1,0,62,75,64,201
"2944",108,0,4,1,0,1,0,5,0,3,0,0,1,0,0,0,1,0,0,65,79,76,220
"2945",109,1,3,1,0,2,0,1,1,1,1,0,0,0,0,0,1,0,0,63,65,63,191
"2946",110,1,1,0,0,2,1,3,1,2,0,0,0,0,1,0,1,0,0,81,78,76,235
"2947",111,0,2,0,1,2,1,1,0,1,0,0,0,1,0,1,0,0,0,50,59,66,175
"2948",112,0,2,1,1,2,1,4,0,1,0,0,0,1,0,1,0,0,0,51,57,65,173
"2950",114,1,2,1,0,3,0,4,1,2,0,1,0,0,0,0,1,0,0,46,36,37,119
"2952",116,0,2,0,1,3,0,2,1,1,0,0,0,0,1,0,1,0,0,84,89,87,260
"2954",118,1,3,1,0,3,1,3,0,3,0,1,0,0,0,0,0,1,0,68,78,66,212
"2957",122,1,5,0,0,3,0,2,1,1,0,0,0,1,0,0,1,0,0,86,78,73,237
"2958",123,1,1,0,1,2,0,1,0,2,0,0,1,0,0,0,0,1,0,59,48,49,156
"2960",125,0,3,0,0,2,1,3,1,1,0,0,1,0,0,0,1,0,0,41,49,42,132
"2961",126,0,2,0,0,3,1,1,1,2,0,1,0,0,0,0,1,0,0,65,69,69,203
"2962",127,0,1,0,0,3,1,3,0,3,0,0,1,0,0,0,0,1,0,64,75,71,210
"2963",128,1,1,0,1,3,1,3,0,3,0,0,1,0,0,0,1,0,0,74,69,66,209
"2964",129,0,3,1,0,1,1,2,0,2,0,0,0,1,0,0,1,0,0,44,45,47,136
"2965",130,1,1,0,1,2,1,0,0,3,0,1,0,0,0,0,1,0,0,75,68,74,217
"2966",131,1,5,0,0,2,1,3,0,2,0,0,1,0,0,0,1,0,0,61,62,57,180
"2967",132,0,3,0,0,3,1,2,0,1,0,0,1,0,0,0,0,1,0,65,75,70,210
"2971",136,1,3,1,1,2,1,3,0,3,0,1,0,0,0,0,0,1,0,62,60,61,183
"2972",137,0,1,0,0,2,1,4,0,3,0,0,1,0,0,1,0,0,0,90,90,86,266
"2973",138,1,5,0,0,2,0,3,0,2,0,0,0,1,0,0,0,1,0,69,62,62,193
"2974",140,0,4,1,0,3,1,3,0,1,0,0,1,0,0,1,0,0,0,70,80,84,234
"2975",141,0,5,0,1,2,1,2,1,2,0,0,0,1,0,0,1,0,0,58,67,77,202
"2976",142,1,1,0,1,2,1,1,0,1,0,0,1,0,0,0,0,1,0,79,82,75,236
"2977",143,0,1,1,0,2,0,2,1,1,1,0,0,0,0,0,1,0,0,52,71,63,186
"2978",144,1,1,0,0,1,1,2,1,1,0,0,0,1,0,1,0,0,0,68,65,63,196
"2982",148,0,4,1,0,1,1,1,0,3,0,0,1,0,0,0,1,0,0,31,46,42,119
"2983",149,0,3,1,0,2,1,1,0,3,0,0,0,0,1,0,1,0,0,57,69,68,194
"2984",150,1,6,0,1,2,0,2,0,1,0,0,0,1,0,0,1,0,0,100,100,100,300
"2985",151,1,3,1,0,2,0,3,1,1,0,1,0,0,0,0,1,0,0,21,34,24,79
"2987",153,0,3,1,0,3,1,2,1,2,0,0,1,0,0,0,1,0,0,62,73,73,208
"2989",155,1,3,1,0,2,1,1,0,1,0,0,1,0,0,0,1,0,0,60,57,56,173
"2991",157,1,2,0,0,2,0,3,0,1,1,0,0,0,0,0,0,1,0,63,60,46,169
"2992",158,1,3,0,1,3,0,3,0,1,0,0,0,1,0,0,1,0,0,95,86,89,270
"2993",159,0,2,0,1,3,1,2,1,2,0,0,1,0,0,0,1,0,0,49,62,56,167
"2994",160,1,2,1,0,3,1,0,0,3,0,0,0,1,0,0,1,0,0,80,71,72,223
"2995",161,1,2,1,1,2,1,0,0,1,0,1,0,0,0,0,1,0,0,46,44,36,126
"2996",162,0,3,0,0,2,1,1,0,1,0,0,0,1,0,0,1,0,0,67,80,84,231
"2999",165,1,2,0,0,3,1,0,0,2,0,0,1,0,0,0,1,0,0,73,64,67,204
"3003",169,1,5,0,1,3,0,5,0,3,0,0,0,1,0,1,0,0,0,100,86,92,278
"3004",170,1,3,0,1,3,0,2,0,1,0,0,1,0,0,0,0,1,0,79,76,82,237
"3006",172,0,1,0,0,2,1,1,0,3,1,0,0,0,0,1,0,0,0,33,46,38,117
"3008",174,1,5,1,1,2,0,2,1,3,0,1,0,0,0,0,1,0,0,63,57,63,183
"3011",178,1,2,0,0,2,1,3,1,2,1,0,0,0,0,0,1,0,0,64,50,43,157
"3014",181,1,2,1,0,2,0,2,1,1,0,1,0,0,0,0,0,1,0,51,44,46,141
"3016",183,1,4,0,0,3,0,5,0,1,0,0,1,0,0,1,0,0,0,75,73,63,211
"3017",184,1,6,0,0,2,1,1,1,1,0,0,1,0,0,0,0,1,0,59,45,49,153
"3019",186,1,3,0,0,2,1,3,0,2,0,0,0,1,0,1,0,0,0,76,71,66,213
"3020",187,1,3,1,1,2,1,3,1,2,0,0,0,0,1,0,1,0,0,64,54,50,168
"3021",188,0,5,1,0,2,1,1,0,1,0,1,0,0,0,1,0,0,0,61,69,71,201
"3022",189,1,5,1,0,2,1,3,0,1,0,1,0,0,0,0,1,0,0,59,56,57,172
"3024",191,1,2,1,0,2,0,2,1,1,0,0,1,0,0,0,1,0,0,53,55,47,155
"3025",192,1,3,1,1,2,1,3,0,2,0,0,1,0,0,1,0,0,0,64,59,61,184
"3026",193,1,3,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,81,87,79,247
"3027",194,1,5,0,0,2,1,5,0,2,0,0,1,0,0,0,1,0,0,68,80,70,218
"3030",197,0,6,1,0,1,0,4,0,1,1,0,0,0,0,0,1,0,0,40,64,59,163
"3031",198,1,2,0,0,2,1,1,1,1,0,0,0,1,0,0,1,0,0,91,77,80,248
"3032",200,1,1,0,1,2,1,0,1,1,0,1,0,0,0,0,1,0,0,67,69,61,197
"3033",201,0,1,0,0,3,0,2,1,3,0,1,0,0,0,0,1,0,0,58,53,54,165
"3034",202,1,1,1,1,2,1,3,1,2,0,0,1,0,0,1,0,0,0,66,76,74,216
"3035",203,1,4,0,1,2,1,2,1,3,0,1,0,0,0,1,0,0,0,80,74,74,228
"3036",204,1,2,0,0,2,1,0,0,1,0,1,0,0,0,1,0,0,0,79,64,66,209
"3038",206,0,5,0,1,3,0,4,0,1,0,0,0,0,1,0,0,1,0,83,92,100,275
"3040",208,1,5,0,0,3,0,2,0,2,0,0,0,1,0,0,0,1,0,80,79,82,241
"3041",209,0,1,0,0,2,1,1,0,1,0,1,0,0,0,0,1,0,0,69,87,80,236
"3046",214,0,2,0,0,2,1,7,0,3,0,0,0,1,0,0,0,1,0,59,71,67,197
"3049",218,1,5,0,0,2,1,0,1,3,0,0,0,1,0,0,1,0,0,67,57,56,180
"3050",219,1,2,0,1,3,0,1,1,1,1,0,0,0,0,0,0,1,0,73,80,75,228
"3051",220,1,1,0,0,2,1,2,1,2,0,0,1,0,0,0,0,1,0,55,58,45,158
"3052",221,1,4,1,0,2,1,2,1,3,0,0,1,0,0,1,0,0,0,69,70,65,204
"3054",223,1,1,0,1,2,1,3,0,3,0,0,0,0,1,1,0,0,0,100,100,97,297
"3055",224,1,2,0,0,3,1,3,0,2,0,0,1,0,0,0,0,1,0,81,75,72,228
"3057",226,0,4,1,1,3,1,0,0,3,0,0,0,1,0,1,0,0,0,53,77,86,216
"3059",228,0,2,1,1,1,0,2,0,3,0,0,0,1,0,0,1,0,0,54,62,69,185
"3060",229,1,2,1,0,2,1,4,0,3,1,0,0,0,0,1,0,0,0,54,43,43,140
"3062",231,1,6,0,0,3,1,0,1,2,0,0,0,1,0,0,0,1,0,73,71,70,214
"3064",233,1,6,0,0,3,0,1,1,3,0,1,0,0,0,0,0,1,0,84,87,81,252
"3065",234,0,1,0,1,2,1,2,1,1,0,0,0,0,1,0,1,0,0,91,87,86,264
"3066",235,0,2,0,0,2,1,2,0,2,0,0,0,0,1,0,1,0,0,62,79,71,212
"3068",237,1,4,1,0,2,1,2,1,3,0,0,0,1,0,0,1,0,0,70,58,63,191
"3069",238,1,2,0,1,1,1,2,0,2,0,0,1,0,0,0,0,1,0,41,43,39,123
"3070",239,1,2,0,0,2,1,1,0,2,0,1,0,0,0,0,1,0,0,41,48,40,129
"3071",240,1,1,0,1,1,0,4,1,2,0,1,0,0,0,0,1,0,0,48,43,46,137
"3072",241,1,2,1,0,2,0,3,1,1,0,0,1,0,0,0,1,0,0,48,48,46,142
"3073",242,1,3,0,0,2,1,0,0,3,0,0,1,0,0,0,1,0,0,70,68,59,197
"3074",243,1,3,1,0,1,0,2,1,3,0,0,1,0,0,0,1,0,0,69,63,61,193
"3076",245,0,2,0,1,3,1,3,1,1,0,1,0,0,0,1,0,0,0,50,62,61,173
"3077",246,1,4,0,0,3,0,2,0,1,0,1,0,0,0,0,1,0,0,69,72,63,204
"3078",248,0,5,1,0,2,1,2,1,1,0,1,0,0,0,1,0,0,0,58,60,64,182
"3080",250,1,2,0,0,2,1,1,1,1,0,0,1,0,0,0,1,0,0,49,48,42,139
"3081",251,1,1,0,0,1,1,4,1,1,0,0,1,0,0,1,0,0,0,57,53,49,159
"3082",252,0,5,1,0,2,1,1,1,1,0,0,1,0,0,0,1,0,0,72,96,94,262
"3085",255,0,6,0,1,2,1,2,0,2,0,0,0,1,0,0,0,1,0,78,84,98,260
"3086",256,1,5,0,0,2,1,0,1,1,0,0,0,1,0,0,1,0,0,79,73,73,225
"3088",258,1,3,0,1,2,0,3,0,1,0,1,0,0,0,0,1,0,0,81,82,83,246
"3089",259,0,5,0,1,3,0,2,0,3,0,0,1,0,0,0,1,0,0,65,72,82,219
"3091",261,0,2,0,0,2,0,1,1,2,0,1,0,0,0,0,1,0,0,58,71,66,195
"3092",262,0,5,0,1,3,0,1,0,1,0,0,1,0,0,0,1,0,0,72,82,86,240
"3095",265,1,5,0,0,3,0,3,0,1,0,0,1,0,0,0,0,1,0,59,61,56,176
"3096",267,0,1,1,0,3,1,1,0,1,0,1,0,0,0,0,1,0,0,48,59,55,162
"3097",268,0,4,1,0,2,1,0,0,1,0,0,1,0,0,0,0,1,0,60,79,78,217
"3098",269,1,3,1,1,3,0,1,1,3,0,0,1,0,0,0,0,1,0,85,86,89,260
"3101",272,1,6,0,1,3,1,1,0,1,0,1,0,0,0,0,1,0,0,85,83,76,244
"3102",273,1,5,0,1,2,1,3,0,2,0,0,0,0,1,1,0,0,0,86,67,75,228
"3105",276,1,5,0,0,2,0,5,0,1,1,0,0,0,0,0,0,1,0,57,39,40,136
"3110",281,1,2,1,0,2,1,6,0,1,0,0,1,0,0,0,1,0,0,71,66,64,201
"3113",284,0,2,0,0,2,0,3,1,1,0,0,1,0,0,0,1,0,0,59,62,60,181
"3114",285,1,4,0,1,2,1,3,1,2,0,0,1,0,0,0,1,0,0,58,62,61,181
"3116",287,1,4,1,1,2,0,2,1,1,0,0,1,0,0,1,0,0,0,68,62,64,194
"3118",289,1,3,0,1,2,1,4,1,1,0,0,0,1,0,0,1,0,0,99,91,95,285
"3119",290,0,1,1,1,2,1,4,1,1,0,0,0,0,1,1,0,0,0,48,52,55,155
"3120",291,1,5,1,0,3,0,1,1,1,0,1,0,0,0,1,0,0,0,62,65,61,188
"3121",292,0,3,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,46,60,49,155
"3124",296,1,2,0,1,2,1,3,0,2,1,0,0,0,0,1,0,0,0,67,67,65,199
"3126",298,1,4,0,0,3,1,0,0,1,0,0,1,0,0,0,1,0,0,92,77,79,248
"3127",299,1,4,0,0,3,1,3,0,3,0,0,1,0,0,0,0,1,0,73,67,61,201
"3128",300,0,5,0,0,2,0,4,1,1,0,0,0,1,0,0,1,0,0,55,56,52,163
"3129",302,0,3,1,0,3,1,4,0,2,0,0,0,1,0,0,1,0,0,70,83,85,238
"3134",308,0,4,0,1,2,0,3,0,1,0,0,1,0,0,1,0,0,0,74,90,95,259
"3136",310,0,3,0,0,2,1,2,0,2,0,0,0,0,1,0,1,0,0,76,79,76,231
"3137",312,0,1,0,0,3,1,0,0,2,0,0,0,1,0,0,1,0,0,69,87,85,241
"3140",315,0,3,0,1,2,0,2,1,2,0,0,0,1,0,0,0,1,0,71,72,76,219
"3141",317,1,5,1,1,1,0,3,0,3,0,0,1,0,0,0,0,1,0,78,71,75,224
"3144",320,1,1,1,1,3,1,3,1,1,0,0,0,0,1,1,0,0,0,86,85,78,249
"3145",321,0,1,1,0,2,0,1,0,3,0,0,0,1,0,0,1,0,0,57,72,71,200
"3147",323,0,3,0,0,2,1,0,1,1,0,0,1,0,0,0,1,0,0,60,73,68,201
"3148",324,0,3,0,1,2,0,5,0,2,0,1,0,0,0,0,1,0,0,59,73,76,208
"3149",325,1,6,1,1,2,1,1,1,1,0,0,1,0,0,0,1,0,0,80,86,86,252
"3151",327,0,4,1,0,2,1,4,1,1,0,1,0,0,0,0,1,0,0,59,70,73,202
"3154",330,1,4,0,1,3,1,2,0,1,1,0,0,0,0,0,0,1,0,72,68,72,212
"3155",331,0,2,0,0,2,1,1,1,1,0,0,1,0,0,0,1,0,0,64,81,77,222
"3157",333,0,4,0,1,3,1,0,0,1,0,0,1,0,0,0,1,0,0,48,59,60,167
"3158",334,1,2,0,0,2,1,0,0,2,0,0,1,0,0,0,1,0,0,60,55,49,164
"3159",335,1,3,0,0,3,0,4,0,1,0,0,0,1,0,1,0,0,0,66,57,60,183
"3160",336,0,1,0,0,1,0,3,1,2,0,0,1,0,0,1,0,0,0,62,77,76,215
"3161",337,0,2,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,94,98,93,285
"3163",339,0,2,0,0,3,1,1,0,1,0,1,0,0,0,1,0,0,0,79,81,76,236
"3167",344,1,1,0,0,2,1,2,0,3,0,0,0,1,0,0,1,0,0,70,69,65,204
"3170",347,0,4,1,0,1,1,1,0,2,0,0,1,0,0,1,0,0,0,37,45,41,123
"3171",348,1,2,0,0,3,1,1,1,1,0,1,0,0,0,0,1,0,0,61,57,59,177
"3172",350,1,2,1,1,3,1,3,1,1,0,0,1,0,0,0,1,0,0,74,75,68,217
"3173",351,0,1,0,1,2,1,2,0,2,0,0,1,0,0,0,1,0,0,66,73,83,222
"3174",352,1,2,1,1,2,1,0,1,3,1,0,0,0,0,0,0,1,0,50,55,52,157
"3175",353,0,6,0,0,2,1,2,0,1,0,0,1,0,0,0,1,0,0,56,61,67,184
"3177",355,1,3,0,1,3,0,3,0,1,0,0,0,1,0,0,1,0,0,91,97,99,287
"3178",356,0,2,0,0,3,0,2,0,2,0,0,1,0,0,0,0,1,0,79,79,83,241
"3179",357,0,4,0,0,2,1,1,1,1,0,0,0,1,0,1,0,0,0,68,66,69,203
"3180",358,0,4,0,0,3,1,0,1,1,0,0,1,0,0,0,1,0,0,57,69,74,200
"3181",359,0,3,1,1,2,0,1,1,3,0,1,0,0,0,0,0,1,0,58,73,73,204
"3183",361,0,3,1,1,3,0,3,0,1,0,1,0,0,0,0,1,0,0,43,61,62,166
"3184",362,0,4,0,0,2,1,4,0,2,0,1,0,0,0,1,0,0,0,68,74,76,218
"3186",364,0,2,0,0,2,0,4,0,3,0,0,1,0,0,1,0,0,0,45,58,55,158
"3188",366,1,3,1,0,3,1,2,0,2,0,0,0,1,0,0,0,1,0,44,60,56,160
"3189",367,0,3,1,0,2,1,1,1,2,0,0,0,1,0,0,1,0,0,67,72,69,208
"3193",373,1,1,0,1,2,1,0,0,1,0,0,0,1,0,1,0,0,0,87,85,86,258
"3195",375,1,3,1,1,3,0,2,1,2,0,0,0,0,1,0,1,0,0,85,78,75,238
"3196",376,1,2,0,1,2,1,2,1,1,0,0,0,0,1,0,1,0,0,76,66,68,210
"3197",377,1,5,0,1,1,1,4,0,2,0,1,0,0,0,0,1,0,0,78,71,69,218
"3198",378,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,27,18,15,60
"3199",379,0,1,0,0,2,1,3,0,1,0,0,0,0,1,0,1,0,0,66,73,71,210
"3200",381,1,4,0,1,2,1,3,1,1,0,0,1,0,0,0,1,0,0,87,87,85,259
"3201",382,0,2,1,0,2,0,3,1,1,0,0,1,0,0,0,0,1,0,39,56,53,148
"3202",383,0,3,0,0,2,0,4,0,1,0,0,0,1,0,0,1,0,0,58,62,64,184
"3204",385,0,1,0,1,3,0,1,0,2,0,1,0,0,0,0,0,1,0,55,73,76,204
"3209",390,0,1,1,0,3,1,3,1,1,0,1,0,0,0,0,1,0,0,48,65,59,172
"3213",394,0,1,1,1,3,1,3,1,1,0,0,0,1,0,1,0,0,0,76,84,84,244
"3214",395,1,2,1,1,2,1,2,0,1,0,0,1,0,0,0,0,1,0,75,72,69,216
"3215",396,1,4,0,0,2,1,2,0,2,0,1,0,0,0,0,1,0,0,87,85,76,248
"3216",397,0,5,0,0,2,1,2,0,1,0,0,0,1,0,1,0,0,0,58,68,68,194
"3217",399,1,1,1,0,3,1,1,1,3,0,0,0,0,1,0,0,1,0,58,54,48,160
"3218",400,1,1,0,0,2,1,3,0,1,0,0,1,0,0,0,0,0,1,81,74,77,232
"3219",401,0,1,0,1,2,1,1,0,3,0,0,1,0,0,0,0,1,0,64,69,73,206
"3220",402,1,5,0,0,3,0,1,0,1,0,0,0,0,1,0,1,0,0,100,94,97,291
"3221",403,0,5,0,1,2,0,1,0,1,0,1,0,0,0,0,0,1,0,47,60,64,171
"3222",405,0,6,0,1,3,1,3,1,2,0,0,0,1,0,0,1,0,0,88,98,100,286
"3223",406,0,5,1,0,2,0,1,1,1,0,1,0,0,0,0,0,1,0,47,52,48,147
"3227",411,0,2,0,0,2,1,6,0,1,0,1,0,0,0,0,1,0,0,54,71,69,194
"3228",412,1,3,1,1,1,1,0,0,2,0,1,0,0,0,0,0,1,0,51,48,48,147
"3230",414,0,3,0,0,3,1,4,1,2,0,0,0,0,1,0,1,0,0,81,99,92,272
"3231",415,1,3,1,1,2,1,3,0,1,1,0,0,0,0,0,0,1,0,74,72,70,216
"3232",416,0,4,1,0,2,0,3,0,3,0,0,0,1,0,1,0,0,0,53,79,74,206
"3233",417,1,4,1,1,1,1,2,1,1,1,0,0,0,0,0,1,0,0,59,65,57,181
"3234",418,0,2,0,0,3,0,3,0,2,1,0,0,0,0,0,1,0,0,61,71,72,204
